Country,Member Type
Aruba,Not a Member
Afghanistan,Not a Member
Antarctica,Not a Member
Angola,Not a Member
Albania,Not a Member
Andorra,Not a Member
United Arab Emirates,Not a Member
Argentina,Member
Armenia,Not a Member
American Samoa,Not a Member
Antigua and Barbuda,Member
Australia,Member
Austria,Member
Azerbaijan,Not a Member
Burundi,Not a Member
Belgium,Member
Benin,Member
Burkina Faso,Not a Member
Bangladesh,Not a Member
Bulgaria,Member
Bahrain,Not a Member
"Bahamas, The",Not a Member
Bosnia and Herz.,Not a Member
Belarus,Not a Member
Belize,Member
Bermuda,Not a Member
Bolivia,Not a Member
Brazil,Member
Barbados,Not a Member
Brunei,Not a Member
Bhutan,Not a Member
Botswana,Not a Member
Central African Rep.,Not a Member
Canada,Non Member with Aboriginal Whaling
Central Europe and the Baltics,Not a Member
Switzerland,Member
Channel Islands,Not a Member
Chile,Member
China,Member
Côte d'Ivoire,Not a Member
Cameroon,Member
Dem. Rep. Congo,Not a Member
Congo,Member
Colombia,Member
Comoros,Not a Member
Cabo Verde,Not a Member
Costa Rica,Not a Member
Cuba,Not a Member
Curacao,Not a Member
Cayman Islands,Not a Member
Cyprus,Member
Czechia,Member
Germany,Member
Djibouti,Not a Member
Dominica,Member
Denmark,Not a Member
Dominican Rep.,Member
Algeria,Not a Member
Ecuador,Member
Egypt,Former Member
Eritrea,Member
Spain,Member
Estonia,Member
Ethiopia,Not a Member
Finland,Member
Fiji,Not a Member
France,Member
Faroe Islands,Member
"Micronesia, Fed. Sts.",Not a Member
Gabon,Member
United Kingdom,Member
Georgia,Not a Member
Ghana,Not a Member
Gibraltar,Not a Member
Guinea,Member
Gambia,Member
Guinea-Bissau,Member
Eq. Guinea,Not a Member
Greece,Member
Grenada,Member
Greenland,Member with Aboriginal Whaling
Guatemala,Former Member
Guam,Not a Member
Guyana,Not a Member
"Hong Kong SAR, China",Member
Honduras,Not a Member
Croatia,Member
Haiti,Not a Member
Hungary,Member
Indonesia,Non Member with Aboriginal Whaling
Isle of Man,Not a Member
India,Member
Ireland,Member
Iran,Not a Member
Iraq,Not a Member
Iceland,Member with Commercial Whaling
Israel,Member
Italy,Member
Jamaica,Member
Jordan,Not a Member
Japan,Non Member with Commerical Whaling
Kazakhstan,Not a Member
Kenya,Member
Kyrgyzstan,Not a Member
Cambodia,Member
Kiribati,Member
St. Kitts and Nevis,Not a Member
South Korea,Member
Kuwait,Not a Member
Laos,Member
Lebanon,Not a Member
Liberia,Not a Member
Libya,Not a Member
St. Lucia,Not a Member
Liechtenstein,Not a Member
Sri Lanka,Not a Member
Lesotho,Not a Member
Lithuania,Member
Luxembourg,Member
Latvia,Not a Member
"Macao SAR, China",Member
St. Martin (French part),Not a Member
Morocco,Member
Monaco,Member
Moldova,Not a Member
Madagascar,Not a Member
Maldives,Not a Member
Mexico,Member
Marshall Islands,Member
Macedonia,Not a Member
Mali,Member
Malta,Not a Member
Myanmar,Not a Member
Montenegro,Not a Member
Mongolia,Member
Northern Mariana Islands,Not a Member
Mozambique,Not a Member
Mauritania,Member
Mauritius,Member
Malawi,Not a Member
Malaysia,Not a Member
Namibia,Not a Member
New Caledonia,Not a Member
Niger,Not a Member
Nigeria,Not a Member
Nicaragua,Not a Member
Netherlands,Member
Norway,Member with Commercial Whaling
Nepal,Not a Member
Nauru,Member
New Zealand,Member
Oman,Member
Pakistan,Not a Member
Panama,Member
Peru,Member
Philippines,Member
Palau,Member
Papua New Guinea,Not a Member
Poland,Member
Puerto Rico,Member
North Korea,Not a Member
Portugal,Member
Paraguay,Not a Member
West Bank and Gaza,Not a Member
French Polynesia,Not a Member
Qatar,Not a Member
Romania,Member
Russia,Member with Aboriginal Whaling
Rwanda,Not a Member
Saudi Arabia,Not a Member
Sudan,Not a Member
Senegal,Not a Member
Singapore,Not a Member
Solomon Islands,Member
Sierra Leone,Not a Member
El Salvador,Not a Member
San Marino,Member
Somalia,Not a Member
Serbia,Not a Member
S. Sudan,Not a Member
Sao Tome and Principe,Not a Member
Suriname,Not a Member
Slovakia,Member
Slovenia,Member
Sweden,Member
Eswatini,Not a Member
Sint Maarten (Dutch part),Not a Member
Seychelles,Member
Syria,Not a Member
Turks and Caicos Islands,Not a Member
Chad,Not a Member
Togo,Not a Member
Thailand,Not a Member
Tajikistan,Not a Member
Turkmenistan,Not a Member
Timor-Leste,Not a Member
Tonga,Member
Trinidad and Tobago,Not a Member
Tunisia,Not a Member
Turkey,Not a Member
Tuvalu,Not a Member
Tanzania,Member
Uganda,Not a Member
Ukraine,Not a Member
Uruguay,Member
United States of America,Member with Aboriginal Whaling
Uzbekistan,Not a Member
St. Vincent and the Grenadines,Not a Member
Venezuela,Former Member
British Virgin Islands,Not a Member
Virgin Islands (U.S.),Not a Member
Vietnam,Not a Member
Vanuatu,Not a Member
Samoa,Not a Member
Kosovo,Not a Member
Yemen,Not a Member
South Africa,Member
Zambia,Not a Member
Zimbabwe,Not a Member
Somaliland,Not a Member
W.Sahara,Not a Member
Taiwan,Member
Bahamas,Member
Solomon Is.,Member
Falkland Is.,Member
Fr. S. Antarctic Lands,Member
W. Sahara,Not a Member
Palestine,Not a Member
eSwatini,Not a Member
N. Cyprus,Not a Member
