ANIMALIA,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total
,,,,,,,,,,,,,,,
ACTINOPTERYGII,64,10,74,111,4,189,569,893,1150,2612,1,577,12309,4051,19624
AMPHIBIA,35,2,37,131,3,171,610,993,673,2276,0,387,2856,1336,6892
ANTHOZOA,0,0,0,1,0,1,6,26,202,234,0,175,293,166,868
ARACHNIDA,9,0,9,21,0,30,60,84,53,197,0,10,89,39,344
AVES,159,5,164,22,0,186,225,461,800,1486,0,1017,8427,53,11147
BIVALVIA,32,0,32,15,0,47,77,66,58,201,4,56,338,170,801
BRANCHIOPODA,0,0,0,0,0,0,6,10,22,38,1,1,1,1,42
CEPHALASPIDOMORPHI,1,0,1,1,0,2,2,4,2,8,0,3,22,3,37
CEPHALOPODA,0,0,0,0,0,0,1,2,2,5,0,2,324,419,750
CHILOPODA,0,0,0,2,0,2,3,5,1,9,0,0,1,0,10
CHONDRICHTHYES,0,0,0,3,0,3,43,62,112,217,0,115,382,420,1134
CLITELLATA,2,0,2,4,0,6,6,13,8,27,0,12,74,107,222
DIPLOPODA,3,0,3,4,0,7,34,32,18,84,0,42,37,34,200
ECHINOIDEA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ENOPLA,1,0,1,1,0,2,1,1,1,3,0,0,1,1,6
ENTOGNATHA,0,0,0,2,0,2,2,0,2,4,0,2,0,0,6
GASTROPODA,267,14,281,134,2,417,598,507,964,2069,0,628,2619,1624,7221
HOLOTHUROIDEA,0,0,0,0,0,0,0,7,9,16,0,0,111,244,371
HYDROZOA,0,0,0,1,0,1,1,2,2,5,0,1,8,2,16
INSECTA,63,1,64,68,0,132,336,677,806,1819,3,594,4752,2561,9793
MALACOSTRACA,7,1,8,17,1,26,138,161,308,607,0,71,1199,1131,3016
MAMMALIA,84,2,86,29,0,115,222,532,545,1299,0,353,3292,869,5899
MAXILLOPODA,2,0,2,0,0,2,7,0,71,78,8,0,0,22,110
MEROSTOMATA,0,0,0,0,0,0,0,1,1,2,0,0,0,2,4
MYXINI,0,0,0,0,0,0,1,2,6,9,0,2,35,30,76
ONYCHOPHORA,0,0,0,0,0,0,3,2,4,9,0,1,0,1,11
OSTRACODA,2,0,2,0,0,2,2,0,9,11,0,0,0,0,13
POLYCHAETA,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2
REPTILIA,30,3,33,41,0,74,310,564,532,1406,2,433,4799,1160,7833
SARCOPTERYGII,0,0,0,0,0,0,1,1,1,3,0,0,4,0,7
TURBELLARIA,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
