Type,Year,Count,Temperature Increase,CO2 Emissions (gigatonnes),,,
Vertebrates,2020,9316,1.16,30.6,,,
Vertebrates,2019,9013,0.99,38.5,,,
Vertebrates,2018,8442,0.95,38.1,,,
Vertebrates,2017,8374,0.91,37.1,,,
Vertebrates,2016,8160,0.87,35.7,,,
Vertebrates,2015,7781,0.83,35.6,,,
Vertebrates,2014,7678,0.79,35.4,,,
Vertebrates,2013,7390,0.74,34.7,,,
Vertebrates,2012,7250,0.7,34.5,,,
Vertebrates,2011,7108,0.67,33.5,,,
Vertebrates,2010,6174,0.65,31.7,,,
Invertebrates,2020,5419,1.16,30.6,,,
Invertebrates,2019,5221,0.99,38.5,,,
Invertebrates,2018,5040,0.95,38.1,,,
Invertebrates,2017,4893,0.91,37.1,,,
Invertebrates,2016,4470,0.87,35.7,,,
Invertebrates,2015,4201,0.83,35.6,,,
Invertebrates,2014,4140,0.79,35.4,,,
Invertebrates,2013,3822,0.74,34.7,,,
Invertebrates,2012,3570,0.7,34.5,,,
Invertebrates,2011,3297,0.67,33.5,,,
Invertebrates,2010,2904,0.65,31.7,,,
Plants,2020,17507,1.16,30.6,,,
Plants,2019,15744,0.99,38.5,,,
Plants,2018,13299,0.95,38.1,,,
Plants,2017,12505,0.91,37.1,,,
Plants,2016,11643,0.87,35.7,,,
Plants,2015,11233,0.83,35.6,,,
Plants,2014,10584,0.79,35.4,,,
Plants,2013,10065,0.74,34.7,,,
Plants,2012,9360,0.7,34.5,,,
Plants,2011,9156,0.67,33.5,,,
Plants,2010,8724,0.65,31.7,,,
Fungi and Protists,2020,32441,1.16,30.6,,,
Fungi and Protists,2019,30178,0.99,38.5,,,
Fungi and Protists,2018,26840,0.95,38.1,,,
Fungi and Protists,2017,25821,0.91,37.1,,,
Fungi and Protists,2016,24301,0.87,35.7,,,
Fungi and Protists,2015,23250,0.83,35.6,,,
Fungi and Protists,2014,22413,0.79,35.4,,,
Fungi and Protists,2013,21286,0.74,34.7,,,
Fungi and Protists,2012,20219,0.7,34.5,,,
Fungi and Protists,2011,19570,0.67,33.5,,,
Fungi and Protists,2010,18351,0.65,31.7,,,
